¬í	ECG	¤ß¸õ²v
1.009	0.379944	146.341
1.01	0.37262	146.341
1.011	0.365295	146.341
1.012	0.357971	146.341
1.013	0.351257	146.341
1.014	0.344849	146.341
1.015	0.33905	146.341
1.016	0.333557	146.341
1.017	0.328674	146.341
1.018	0.324097	146.341
1.019	0.319824	146.341
1.02	0.315857	146.341
1.021	0.31189	146.341
1.022	0.307922	146.341
1.023	0.30426	146.341
1.024	0.300598	146.341
1.025	0.296936	146.341
1.026	0.293274	146.341
1.027	0.290222	146.341
1.028	0.28717	146.341
1.029	0.284424	146.341
1.03	0.281677	146.341
1.031	0.278625	146.341
1.032	0.275574	146.341
1.033	0.272217	146.341
1.034	0.268555	146.341
1.035	0.265198	146.341
1.036	0.261841	146.341
1.037	0.258484	146.341
1.038	0.255737	146.341
1.039	0.253296	146.341
1.04	0.250854	146.341
1.041	0.248718	146.341
1.042	0.246887	146.341
1.043	0.245361	146.341
1.044	0.244446	146.341
1.045	0.243835	146.341
1.046	0.243835	146.341
1.047	0.243835	146.341
1.048	0.244141	146.341
1.049	0.244751	146.341
1.05	0.245972	146.341
1.051	0.247803	146.341
1.052	0.250244	146.341
1.053	0.252686	146.341
1.054	0.255127	146.341
1.055	0.257874	146.341
1.056	0.260315	146.341
1.057	0.262451	146.341
1.058	0.264282	146.341
1.059	0.265503	146.341
1.06	0.266724	146.341
1.061	0.267639	146.341
1.062	0.268555	146.341
1.063	0.269775	146.341
1.064	0.270691	146.341
1.065	0.271606	146.341
1.066	0.272522	146.341
1.067	0.272827	146.341
1.068	0.273132	146.341
1.069	0.272827	146.341
1.07	0.272217	146.341
1.071	0.270691	146.341
1.072	0.268555	146.341
1.073	0.266113	146.341
1.074	0.263062	146.341
1.075	0.259399	146.341
1.076	0.255737	146.341
1.077	0.251465	146.341
1.078	0.247498	146.341
1.079	0.243835	146.341
1.08	0.240784	146.341
1.081	0.238953	146.341
1.082	0.238647	146.341
1.083	0.240784	146.341
1.084	0.245361	146.341
1.085	0.253601	146.341
1.086	0.265808	146.341
1.087	0.282898	146.341
1.088	0.304871	146.341
1.089	0.332031	146.341
1.09	0.36499	146.341
1.091	0.403748	146.341
1.092	0.447998	146.341
1.093	0.498047	146.341
1.094	0.553284	146.341
1.095	0.613403	146.341
1.096	0.677795	146.341
1.097	0.745239	146.341
1.098	0.813599	146.341
1.099	0.881042	146.341
1.1	0.94574	146.341
1.101	1.00555	146.341
1.102	1.05865	146.341
1.103	1.10321	146.341
1.104	1.13831	146.341
1.105	1.16302	146.341
1.106	1.17706	146.341
1.107	1.1795	146.341
1.108	1.17065	146.341
1.109	1.1496	146.341
1.11	1.11694	146.341
1.111	1.07208	146.341
1.112	1.01685	146.341
1.113	0.951843	146.341
1.114	0.879822	146.341
1.115	0.802307	146.341
1.116	0.72113	146.341
1.117	0.638428	146.341
1.118	0.555725	146.341
1.119	0.474854	146.341
1.12	0.397034	146.341
1.121	0.323181	146.341
1.122	0.253906	146.341
1.123	0.189514	146.341
1.124	0.13092	146.341
1.125	0.078125	146.341
